bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-396248_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.364	0.1852	0.1875	0.0473	0.5402	0.5994	0.6375	0.0	0.0	480.9611	90.7921	33.0972	31.1846	107	97.27272727272727	0.9601	31.8759	5.2594	1.9809	4.5	4.61	4.61	2.51	1.48	107.44	772.14	779.43	699.3	63.9224	2.9652	9.8881	5.0	463374.0	2.0	34.0	13.3419	36.9162	41.5129	139.2456	128.0	185586.0	58.0	245.0	69.6391	19.0201	35.5825	133.2274	130.0	55297.0	71.0	202.0	44.9209
sub-439021_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2843	0.1186	0.1097	0.0123	0.5264	0.6006	0.6437	0.0	0.0	530.356	86.8939	31.3806	22.9173	107	97.27272727272727	0.8022	29.652	5.2873	1.9809	5.16	5.28	5.28	3.17	1.33	83.28	623.54	574.01	569.02	49.3095	2.9652	10.2511	6.0	473778.0	3.0	34.0	13.7698	58.2039	44.4781	149.9229	138.0	175182.0	63.0	259.0	76.2121	15.0215	37.0651	148.5925	140.0	43647.0	87.0	233.0	52.263
sub-449900_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.177	0.0373	0.0288	0.0027	0.5325	0.6151	0.6774	0.0	0.0	339.4748	67.1559	25.1767	7.6975	107	97.27272727272727	0.7903	44.4781	5.6974	1.9809	3.31	3.44	3.44	1.88	0.96	68.5	410.84	413.75	389.99	65.7578	2.9652	10.0205	6.0	474902.0	3.0	29.0	11.054	49.5938	42.9955	134.7978	126.0	174058.0	40.0	234.0	70.1324	30.4726	41.5129	136.7297	131.0	54435.0	43.0	225.0	58.984
sub-457424_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2437	0.1086	0.0885	0.0045	0.5168	0.5858	0.6248	0.0	0.0	660.5511	119.7249	43.963	23.4589	107	97.27272727272727	0.854	34.0999	5.3562	1.6508	5.14	5.29	5.29	3.31	1.26	81.04	562.35	472.03	506.82	350.1324	2.9652	10.6239	6.0	480451.0	3.0	34.0	16.8449	31.3237	45.9607	165.6033	155.0	168509.0	58.0	285.0	80.3431	76.52	35.5825	161.0	155.0	48698.0	83.0	242.0	65.6431
sub-515928_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2696	0.1232	0.1195	0.0207	0.5466	0.6095	0.6555	0.0	0.0	369.7351	70.5947	26.3238	22.9179	107	97.27272727272727	0.872	19.2738	5.4927	1.9809	7.91	8.18	8.18	4.58	2.25	98.61	754.66	719.7	631.22	166.6052	2.9652	10.6122	6.0	459906.0	3.0	34.0	13.7124	30.8666	45.9607	140.6552	129.0	189054.0	59.0	250.0	71.8951	16.771	41.5129	139.8257	132.0	49283.0	79.0	224.0	50.4677
sub-526477_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2059	0.0355	0.0212	0.0013	0.5434	0.6076	0.6588	0.0	0.0	432.5256	90.4683	32.6698	7.4096	107	97.27272727272727	0.941	23.7216	5.9312	2.146	7.34	7.51	7.51	4.42	1.97	68.54	402.1	438.52	358.9	94.2302	2.9652	10.5952	6.0	464360.0	3.0	34.0	12.7387	47.5502	42.9955	150.4391	142.0	184600.0	51.0	246.0	72.8432	70.0809	38.5477	158.6203	149.0	55680.0	94.0	242.0	63.4711
sub-531453_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.3347	0.1242	0.0942	0.0039	0.5476	0.6166	0.6483	0.0	0.0	379.4742	75.0894	30.1821	22.1228	107	97.27272727272727	0.9322	44.4781	5.6126	2.3111	3.52	3.59	3.59	2.04	1.01	78.74	537.59	467.66	492.54	57.7429	2.9652	11.8935	6.0	461207.0	3.0	42.0	15.6086	62.4515	47.4433	141.5753	131.0	187753.0	45.0	249.0	76.2835	13.851	41.5129	139.251	131.0	57559.0	60.0	232.0	57.916
sub-553081_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2628	0.0768	0.0579	0.003	0.5248	0.6044	0.6543	0.0	0.0	517.3988	94.4173	33.3019	15.9719	107	97.27272727272727	0.9305	35.5825	5.8373	1.9809	5.2	5.31	5.31	3.09	1.22	67.09	464.74	387.53	387.47	93.5251	4.4478	11.7483	7.0	481678.0	3.0	39.0	16.7007	70.7162	45.9607	165.799	157.0	167282.0	63.0	270.0	81.1255	9.2775	38.5477	164.3088	159.0	44290.0	91.0	250.0	54.6798
sub-572551_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.3007	0.1208	0.1187	0.0163	0.572	0.6158	0.6538	0.0	0.0	458.6426	93.505	33.3339	17.3271	107	97.27272727272727	0.9189	23.7216	5.4051	1.9809	6.57	6.72	6.72	3.74	1.85	103.77	805.65	687.65	653.07	82.4874	4.4478	12.7354	6.0	446128.0	3.0	47.0	18.1879	39.1061	42.9955	148.6167	138.0	202832.0	65.0	252.0	71.759	18.838	35.5825	140.9582	135.0	60207.0	78.0	220.0	46.9996
sub-589611_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.4127	0.169	0.1455	0.0083	0.5508	0.5931	0.6373	0.0	0.0	516.8959	105.9997	36.0651	34.0576	107	97.27272727272727	0.9519	23.7216	5.3503	1.6508	6.43	6.57	6.57	3.15	1.78	121.09	1002.33	923.66	803.52	71.6409	2.9652	10.4608	5.0	457455.0	2.0	36.0	15.1459	23.3472	42.9955	144.0045	133.0	191505.0	67.0	248.0	68.7177	8.7873	34.0999	140.1701	134.0	58500.0	87.0	213.0	42.0495
